model,group_key,house,week,count,cobb_weight_g,mean_estimated_weight_g,median_estimated_weight_g,std_estimated_weight_g,cv_pct,mean_cobb_diff_pct,anomaly_count,critical_count,anomaly_rate_pct
original_median,Commercial_W1,Commercial,1,76495,202.0,201.81,201.31,59.65,29.56,-0.09,57907,39701,75.7
original_median,Commercial_W2,Commercial,2,93519,570.0,568.16,566.68,166.48,29.3,-0.32,72568,51067,77.6
original_median,Commercial_W3,Commercial,3,51125,1116.0,1130.46,1120.13,353.37,31.26,1.3,40093,29420,78.42
original_median,Commercial_W4,Commercial,4,43491,1783.0,1812.91,1787.17,628.67,34.68,1.68,35201,26934,80.94
original_median,Commercial_W5,Commercial,5,1778,2521.0,2503.67,2519.77,648.99,25.92,-0.69,1342,901,75.48
original_median,Commercial_W6,Commercial,6,26480,3278.0,3304.62,3270.26,1072.17,32.44,0.81,21175,15885,79.97
original_median,Prototype_W1,Prototype,1,10456,202.0,205.8,203.61,36.28,17.63,1.88,5745,2601,54.94
original_median,Prototype_W2,Prototype,2,3870,570.0,564.3,568.9,91.64,16.24,-1.0,1984,776,51.27
original_median,Prototype_W3,Prototype,3,4090,1116.0,1117.74,1120.55,213.8,19.13,0.16,2423,1180,59.24
original_median,Prototype_W4,Prototype,4,6548,1783.0,1742.94,1781.86,377.43,21.65,-2.25,3928,1999,59.99
original_median,Prototype_W5,Prototype,5,1961,2521.0,2482.08,2514.04,593.37,23.91,-1.54,1281,743,65.32
original_median,Prototype_W6,Prototype,6,1614,3278.0,3235.03,3272.32,793.21,24.52,-1.31,1099,628,68.09
original_mean,Commercial_W1,Commercial,1,76495,202.0,199.83,199.37,59.13,29.59,-1.07,57728,39412,75.47
original_mean,Commercial_W2,Commercial,2,93519,570.0,564.03,561.85,165.49,29.34,-1.05,72422,50779,77.44
original_mean,Commercial_W3,Commercial,3,51125,1116.0,1103.18,1093.34,345.24,31.3,-1.15,39866,29050,77.98
